Date,PhaseName,Rank,Medal,Person/Team,Country, ,Age (days),Result
01-Oct-2000,Cycling - Track Keirin Men - Olympic Games 2000,3,B,"Jens Fiedler (GER, 15 Feb 1970)",Germany,,30-229,
01-Oct-2000,Cycling - Track Madison Men - Olympic Games 2000,3,B,Martinello / Villa,Italy,,34-246,15
01-Oct-2000,Cycling - Track Madison Men - Olympic Games 2000,3,B,"Silvio Martinello (ITA, 19 Jan 1963)",Italy,,37-256,15
01-Oct-2000,Cycling - Track Madison Men - Olympic Games 2000,3,B,"Marco Villa (ITA, 08 Feb 1969)",Italy,,31-236,15
01-Oct-2000,Cycling - Track Points Race Women - Olympic Games 2000,3,B,"Olga Slyusareva (RUS, 28 Apr 1969)",Russia,,31-156,15
20-Sep-2000,Cycling - Track Points Race Men - Olympic Games 2000,3,B,"Alexei Markov (RUS, 26 May 1979)",Russia,,21-117,16
20-Sep-2000,Cycling - Track Sprint Men - Olympic Games 2000,3,B,"Jens Fiedler (GER, 15 Feb 1970)",Germany,,30-218,
20-Sep-2000,Cycling - Track Sprint Women - Olympic Games 2000,3,B,"Irina Yanovich (UKR, 14 Jul 1976)",Ukraine,,24-068,
19-Sep-2000,Cycling - Track Team Pursuit Men - Olympic Games 2000,3,B,Great Britain,Great Britain,,28-112,4:01.979
19-Sep-2000,Cycling - Track Team Pursuit Men - Olympic Games 2000,3,B,"Bryan Steel (ENG, 05 Jan 1969)",Great Britain,,31-258,
19-Sep-2000,Cycling - Track Team Pursuit Men - Olympic Games 2000,3,B,"Paul Manning (ENG, 06 Nov 1974)",Great Britain,,25-318,
19-Sep-2000,Cycling - Track Team Pursuit Men - Olympic Games 2000,3,B,"Bradley Wiggins (ENG, 28 Apr 1980)",Great Britain,,20-144,
19-Sep-2000,Cycling - Track Team Pursuit Men - Olympic Games 2000,3,B,"Chris Newton (ENG, 29 Sep 1973)",Great Britain,,26-356,
19-Sep-2000,Cycling - Track Team Pursuit Men - Olympic Games 2000,3,B,"Jonny Clay (ENG, 26 Jun 1963)",Great Britain,,37-085,
19-Sep-2000,Cycling - Track Team Pursuit Men - Olympic Games 2000,3,B,"Rob Hayles (ENG, 21 Jan 1973)",Great Britain,,27-242,
17-Sep-2000,Cycling - Track 3km Individual Pursuit Women - Olympic Games 2000,3,B,"Yvonne McGregor (ENG, 09 Apr 1961)",Great Britain,,39-161,3:38.850
17-Sep-2000,Cycling - Track 4km Individual Pursuit Men - Olympic Games 2000,3,B,"Bradley McGee (AUS, 24 Feb 1976)",Australia,,24-206,4:19.250
17-Sep-2000,Cycling - Track Team Sprint Men - Olympic Games 2000,3,B,Australia,Australia,,30-190,45.161
17-Sep-2000,Cycling - Track Team Sprint Men - Olympic Games 2000,3,B,"Sean Eadie (AUS, 15 Apr 1969)",Australia,,31-155,
17-Sep-2000,Cycling - Track Team Sprint Men - Olympic Games 2000,3,B,"Darryn Hill (AUS, 11 Aug 1974)",Australia,,26-037,
17-Sep-2000,Cycling - Track Team Sprint Men - Olympic Games 2000,3,B,"Gary Neiwand (AUS, 04 Sep 1966)",Australia,,34-013,
16-Sep-2000,Cycling - Track 1km Time Trial Men - Olympic Games 2000,3,B,"Shane Kelly (AUS, 07 Jan 1972)",Australia,,28-253,1:02.818
16-Sep-2000,Cycling - Track 500m Time Trial Women - Olympic Games 2000,3,B,"Jiang Cuihua (CHN, 02 Feb 1975)",China,,25-227,34.768
04-Aug-1996,Cycling - Track Points Race Women - Olympic Games 1996,3,B,"Lucy Tyler-Sharman (AUS, 06 Jun 1965)",Australia,,31-059,17
28-Jul-1996,Cycling - Track 3km Individual Pursuit Women - Olympic Games 1996,3,B,"Judith Arndt (GER, 23 Jul 1976)",Germany,,20-005,3:38.744
28-Jul-1996,Cycling - Track Points Race Men - Olympic Games 1996,3,B,"Stuart O'Grady (AUS, 06 Aug 1973)",Australia,,22-357,27
28-Jul-1996,Cycling - Track Sprint Men - Olympic Games 1996,3,B,"Curtis Harnett (CAN, 14 May 1965)",Canada,,31-075,
27-Jul-1996,Cycling - Track Sprint Women - Olympic Games 1996,3,B,"Ingrid Haringa (NED, 11 Jul 1964)",Netherlands,,32-016,
26-Jul-1996,Cycling - Track 4km Individual Pursuit Men - Olympic Games 1996,3,B,"Bradley McGee (AUS, 24 Feb 1976)",Australia,,20-153,4:26.121
26-Jul-1996,Cycling - Track Team Pursuit Men - Olympic Games 1996,3,B,Australia,Australia,,24-227,
26-Jul-1996,Cycling - Track Team Pursuit Men - Olympic Games 1996,3,B,"Bradley McGee (AUS, 24 Feb 1976)",Australia,,20-153,
26-Jul-1996,Cycling - Track Team Pursuit Men - Olympic Games 1996,3,B,"Stuart O'Grady (AUS, 06 Aug 1973)",Australia,,22-355,
26-Jul-1996,Cycling - Track Team Pursuit Men - Olympic Games 1996,3,B,"Tim O'Shannessy (AUS, 14 Jun 1972)",Australia,,24-042,
26-Jul-1996,Cycling - Track Team Pursuit Men - Olympic Games 1996,3,B,"Dean Woods (AUS, 22 Jun 1966)",Australia,,30-034,
26-Jul-1996,Cycling - Track Team Pursuit Men - Olympic Games 1996,3,B,"Brett Aitken (AUS, 25 Jan 1971)",Australia,,25-183,
24-Jul-1996,Cycling - Track 1km Time Trial Men - Olympic Games 1996,3,B,"Takanobu Jumonji (JPN, 10 Nov 1975)",Japan,,20-257,1:03.261
09-Aug-1992,Cycling - Track 3km Individual Pursuit Women - Olympic Games 1992,3,B,"Rebecca Twigg (USA, 26 Mar 1963)",United States,,29-136,
09-Aug-1992,Cycling - Track Points Race Men - Olympic Games 1992,3,B,"Cédric Mathy (BEL, 02 Feb 1970)",Belgium,,22-189,41
09-Aug-1992,Cycling - Track Sprint Women - Olympic Games 1992,3,B,"Ingrid Haringa (NED, 11 Jul 1964)",Netherlands,,28-029,
31-Jul-1992,Cycling - Track Sprint Men - Olympic Games 1992,3,B,"Curtis Harnett (CAN, 14 May 1965)",Canada,,27-078,
31-Jul-1992,Cycling - Track Team Pursuit Men - Olympic Games 1992,3,B,Denmark,Denmark,,24-106,4:15.860
31-Jul-1992,Cycling - Track Team Pursuit Men - Olympic Games 1992,3,B,"Ken Frost (DEN, 15 Feb 1967)",Denmark,,25-167,4:15.860
31-Jul-1992,Cycling - Track Team Pursuit Men - Olympic Games 1992,3,B,"Jimmi Madsen (DEN, 04 Jan 1969)",Denmark,,23-209,4:15.860
31-Jul-1992,Cycling - Track Team Pursuit Men - Olympic Games 1992,3,B,"Jan Bo Petersen (DEN, 28 Jul 1970)",Denmark,,22-003,4:15.860
31-Jul-1992,Cycling - Track Team Pursuit Men - Olympic Games 1992,3,B,"Klaus Kynde Nielsen (DEN, 13 Apr 1966)",Denmark,,26-109,4:15.860
31-Jul-1992,Cycling - Track Team Pursuit Men - Olympic Games 1992,3,B,"Michael Sandstød (DEN, 23 Jun 1968)",Denmark,,24-038,
29-Jul-1992,Cycling - Track 4km Individual Pursuit Men - Olympic Games 1992,3,B,"Gary Anderson (NZL, 18 Sep 1967)",New Zealand,,24-315,
27-Jul-1992,Cycling - Track 1km Time Trial Men - Olympic Games 1992,3,B,"Erin Hartwell (USA, 01 Jun 1969)",United States,,23-056,1:04.753
02-Oct-1988,Cycling - Track Sprint Women - Olympic Games 1988,3,B,"Connie Paraskevin-Young (USA, 04 Jul 1961)",United States,,27-090,
24-Sep-1988,Cycling - Track Points Race Men - Olympic Games 1988,3,B,"Marat Ganeyev (RUS, 06 Dec 1964)",Soviet Union,,23-293,
24-Sep-1988,Cycling - Track Sprint Men - Olympic Games 1988,3,B,"Gary Neiwand (AUS, 04 Sep 1966)",Australia,,22-020,
24-Sep-1988,Cycling - Track Team Pursuit Men - Olympic Games 1988,3,B,Australia,Australia,,20-333,
24-Sep-1988,Cycling - Track Team Pursuit Men - Olympic Games 1988,3,B,"Dean Woods (AUS, 22 Jun 1966)",Australia,,22-094,
