"","Funnel Disciplines","Pinnacle Result","Pinnacle Time","worldsFlag","juniorsFlag","pinnacleFlag","Years Out from Games"
"258","Keirin",3,NA,TRUE,FALSE,FALSE,4
"259","Keirin",10,NA,TRUE,FALSE,TRUE,5
"260","Keirin",13,NA,TRUE,FALSE,TRUE,7
"261","Team Sprint",2,NA,TRUE,FALSE,TRUE,1
"262","Team Pursuit",4,NA,TRUE,FALSE,TRUE,2
"263","Team Pursuit",2,205.308,TRUE,FALSE,TRUE,1
"264","Team Pursuit",5,265.693,TRUE,FALSE,TRUE,1
"265","Team Pursuit",5,279.026,TRUE,FALSE,TRUE,2
"266","Team Pursuit",3,244.093,TRUE,FALSE,TRUE,1
"267","Team Pursuit",10,NA,TRUE,FALSE,TRUE,2
"268","Team Pursuit",9,255.225,TRUE,FALSE,TRUE,3
"269","Keirin",1,NA,TRUE,FALSE,TRUE,1
"270","Keirin",1,NA,TRUE,FALSE,TRUE,2
"271","Keirin",6,NA,TRUE,FALSE,TRUE,3
"272","Keirin",5,NA,TRUE,FALSE,TRUE,6
"273","Team Sprint",1,49.957,TRUE,FALSE,TRUE,1
"274","Team Sprint",3,44.838,TRUE,FALSE,TRUE,2
"275","Team Sprint",7,NA,FALSE,FALSE,TRUE,4
"276","Team Sprint",2,NA,TRUE,FALSE,FALSE,8
"277","Team Pursuit",2,251.33,TRUE,TRUE,TRUE,2
"278","Team Pursuit",8,NA,FALSE,FALSE,TRUE,4
"279","Team Pursuit",5,NA,FALSE,FALSE,TRUE,4
"280","Madison",4,8,TRUE,FALSE,TRUE,1
"281","Madison",1,16,TRUE,FALSE,TRUE,2
"282","Madison",6,7,FALSE,FALSE,TRUE,4
"283","Madison",5,NA,TRUE,FALSE,TRUE,6
"284","Madison",2,NA,TRUE,FALSE,TRUE,7
"285","Madison",2,NA,TRUE,FALSE,FALSE,8
"286","Madison",13,3,FALSE,FALSE,TRUE,8
"287","Team Pursuit",2,202.287,TRUE,FALSE,TRUE,2
"288","Team Pursuit",1,202.72,TRUE,FALSE,TRUE,3
"289","Team Pursuit",1,NA,TRUE,FALSE,FALSE,4
"290","Omnium",4,166,TRUE,FALSE,TRUE,1
"291","Omnium",4,35,TRUE,FALSE,TRUE,2
"292","Omnium",5,45,FALSE,FALSE,TRUE,4
"293","Omnium",9,63,TRUE,FALSE,FALSE,4
"294","Omnium",13,74,TRUE,FALSE,TRUE,5
"295","Team Pursuit",6,NA,TRUE,FALSE,TRUE,1
"296","Team Pursuit",5,NA,TRUE,FALSE,TRUE,2
"297","Team Pursuit",7,NA,TRUE,FALSE,FALSE,4
"298","Keirin",4,NA,TRUE,FALSE,TRUE,2
"299","Madison",6,4,TRUE,FALSE,TRUE,1
"300","Madison",3,9,TRUE,FALSE,TRUE,2
"301","Madison",13,0,TRUE,FALSE,TRUE,3
"302","Madison",9,5,FALSE,FALSE,TRUE,4
"303","Madison",1,NA,TRUE,FALSE,FALSE,4
"304","Madison",3,NA,TRUE,FALSE,TRUE,5
"305","Madison",3,NA,TRUE,FALSE,TRUE,6
"306","Madison",3,NA,TRUE,FALSE,TRUE,7
"307","Madison",3,NA,TRUE,FALSE,FALSE,8
"308","Madison",7,9,FALSE,FALSE,TRUE,8
"309","Team Pursuit",3,272.69,TRUE,FALSE,TRUE,1
"310","Team Pursuit",3,NA,TRUE,FALSE,TRUE,1
"311","Team Pursuit",2,NA,TRUE,FALSE,TRUE,2
"312","Team Sprint",1,33.237,TRUE,FALSE,TRUE,1
"313","Team Sprint",1,32.923,TRUE,FALSE,TRUE,2
"314","Team Sprint",1,33.149,TRUE,FALSE,TRUE,3
"315","Team Pursuit",2,NA,TRUE,FALSE,TRUE,1
"316","Team Pursuit",2,256.702,TRUE,FALSE,TRUE,1
"317","Team Pursuit",1,263.407,TRUE,FALSE,TRUE,2
"318","Team Pursuit",8,NA,FALSE,FALSE,TRUE,4
"319","Team Pursuit",6,NA,FALSE,FALSE,TRUE,4
"320","Team Pursuit",3,257.864,TRUE,FALSE,TRUE,1
"321","Team Sprint",5,33.618,TRUE,FALSE,TRUE,1
"322","Team Sprint",6,33.604,TRUE,FALSE,TRUE,2
"323","Team Sprint",6,NA,TRUE,FALSE,TRUE,3
"324","Team Sprint",1,45.263,TRUE,TRUE,TRUE,5
"325","Sprint",1,NA,TRUE,FALSE,TRUE,1
"326","Sprint",1,NA,TRUE,FALSE,TRUE,2
"327","Sprint",2,NA,TRUE,FALSE,TRUE,3
"328","Sprint",4,NA,FALSE,FALSE,TRUE,4
"329","Sprint",14,NA,TRUE,FALSE,FALSE,4
"330","Sprint",7,NA,TRUE,FALSE,TRUE,5
"331","Sprint",5,NA,TRUE,FALSE,TRUE,6
"332","Sprint",9,NA,TRUE,FALSE,TRUE,7
"333","Sprint",1,NA,TRUE,TRUE,FALSE,8
"334","Omnium",11,63,TRUE,FALSE,TRUE,1
"335","Omnium",7,40,TRUE,TRUE,TRUE,2
"336","Team Pursuit",2,239.623,TRUE,FALSE,TRUE,2
"337","Team Pursuit",3,239.821,TRUE,FALSE,TRUE,3
"338","Team Pursuit",5,NA,FALSE,FALSE,TRUE,4
"339","Team Pursuit",7,243.237,TRUE,FALSE,FALSE,4
"340","Team Pursuit",9,247.82,TRUE,FALSE,TRUE,5
"341","Team Pursuit",13,NA,TRUE,TRUE,TRUE,6
"342","Team Pursuit",2,264.696,TRUE,FALSE,TRUE,2
"343","Team Pursuit",3,200.704,TRUE,FALSE,TRUE,3
"344","Team Pursuit",6,207.255,TRUE,FALSE,TRUE,5
"345","Team Pursuit",6,206.132,TRUE,FALSE,TRUE,6
"346","Omnium",11,62,TRUE,FALSE,TRUE,1
"347","Omnium",1,15,TRUE,TRUE,TRUE,2
