"","Funnel Disciplines","Gender","Pinnacle Result","Pinnacle Time","worldsFlag","juniorsFlag","pinnacleFlag","Years Out from Games"
"360","C2 1000m","Men",1,217.625,TRUE,TRUE,TRUE,3
"361","C2 1000m","Men",6,228.936,TRUE,TRUE,TRUE,5
"362","C2 500m","Men",2,103.986,TRUE,FALSE,TRUE,1
"363","K4 500m","Women",5,98.269,TRUE,FALSE,TRUE,1
"364","K4 500m","Women",3,97.648,TRUE,FALSE,TRUE,2
"365","K2 1000m","Men",1,NA,TRUE,FALSE,TRUE,2
"366","C2 1000m","Men",3,227.65,TRUE,FALSE,TRUE,1
"367","C2 500m","Men",5,103.56,TRUE,FALSE,TRUE,1
"368","C2 500m","Men",2,107.44,TRUE,FALSE,TRUE,2
"369","C2 500m","Men",8,104.81,TRUE,FALSE,TRUE,5
"370","C2 500m","Men",3,110.16,TRUE,FALSE,TRUE,6
"371","K4 500m","Women",7,99.415,TRUE,FALSE,TRUE,1
"372","K2 500m","Women",3,NA,TRUE,FALSE,TRUE,2
"373","K4 500m","Women",7,94.863,TRUE,FALSE,TRUE,1
"374","K4 500m","Women",8,NA,TRUE,FALSE,TRUE,2
"375","K4 500m","Women",4,98.927,TRUE,FALSE,TRUE,3
"376","K1 500m","Women",4,109.811,TRUE,FALSE,TRUE,1
"377","K1 500m","Women",17,122.712,FALSE,FALSE,TRUE,8
"378","K1 200m","Women",3,40.67,TRUE,FALSE,TRUE,1
"379","K1 200m","Women",2,40.797,TRUE,FALSE,TRUE,2
"380","K1 200m","Women",4,41.555,TRUE,FALSE,TRUE,5
"381","K1 1000m","Men",2,239.86,TRUE,FALSE,TRUE,1
"382","K4 500m","Women",3,97.887,TRUE,FALSE,TRUE,1
"383","K4 500m","Women",14,97.486,TRUE,FALSE,TRUE,2
"384","K4 500m","Women",10,100.265,TRUE,TRUE,TRUE,5
"385","C1 1000m","Men",8,NA,TRUE,FALSE,TRUE,2
"386","C1 1000m","Men",3,254.154,TRUE,FALSE,TRUE,3
"387","C1 1000m","Men",15,262.377,TRUE,FALSE,TRUE,5
"388","C1 1000m","Men",4,249.77,TRUE,TRUE,TRUE,5
"389","C1 200m","Men",3,38.915,TRUE,FALSE,TRUE,1
"390","C1 200m","Men",1,41.2,TRUE,TRUE,TRUE,5
"391","C2 1000m","Men",1,218.508,TRUE,FALSE,TRUE,1
"392","C2 1000m","Men",10,237.22,TRUE,TRUE,TRUE,5
"393","C1 1000m","Men",2,NA,TRUE,FALSE,TRUE,2
"394","K2 1000m","Men",1,NA,TRUE,FALSE,TRUE,2
"395","C2 500m","Men",6,113.21,TRUE,FALSE,TRUE,1
"396","C2 500m","Men",1,NA,TRUE,FALSE,TRUE,2
"397","C2 500m","Men",1,NA,TRUE,FALSE,TRUE,3
"398","C1 1000m","Men",3,252.18,TRUE,FALSE,TRUE,1
"399","C1 1000m","Men",2,236.58,TRUE,FALSE,TRUE,2
"400","C1 1000m","Men",1,241.84,TRUE,FALSE,TRUE,3
"401","C1 1000m","Men",7,289.32,FALSE,FALSE,TRUE,4
"402","C2 500m","Men",1,110.19,TRUE,FALSE,TRUE,1
"403","C1 200m","Men",2,39.573,TRUE,FALSE,TRUE,1
"404","C1 200m","Men",1,39.161,TRUE,FALSE,TRUE,2
"405","K1 500m","Women",2,119.28,TRUE,FALSE,TRUE,1
"406","C2 1000m","Men",5,223.375,TRUE,TRUE,TRUE,7
"407","C2 500m","Men",3,NA,TRUE,FALSE,TRUE,3
"408","K2 1000m","Men",3,NA,TRUE,FALSE,TRUE,3
"409","K2 1000m","Men",3,NA,TRUE,FALSE,TRUE,6
"410","C2 500m","Men",5,103.79,TRUE,FALSE,TRUE,1
"411","K1 500m","Men",2,110.99,TRUE,FALSE,TRUE,1
"412","C1 1000m","Men",4,245.02,TRUE,FALSE,TRUE,3
"413","C1 1000m","Men",4,289.97,TRUE,FALSE,TRUE,5
"414","C1 1000m","Men",1,267.82,TRUE,FALSE,TRUE,6
"415","K1 1000m","Men",2,206.298,TRUE,FALSE,TRUE,1
"416","K1 1000m","Men",1,205.092,TRUE,FALSE,TRUE,2
"417","K1 1000m","Men",1,208.854,TRUE,FALSE,TRUE,3
"418","K1 1000m","Men",1,216.2,TRUE,TRUE,TRUE,5
"419","K1 500m","Women",8,118.496,TRUE,FALSE,TRUE,1
"420","K1 500m","Women",3,114.64,TRUE,FALSE,TRUE,2
"421","K1 500m","Women",4,112.78,FALSE,FALSE,TRUE,4
"422","K1 500m","Women",3,114.22,TRUE,FALSE,TRUE,5
